x y z fail
0.485373 0.133370 0.223424 0
-0.007243 -0.052307 -0.162819 0
-0.338458 0.328692 0.254442 1
-0.194722 0.122787 -0.162668 0
-0.307948 0.169167 -0.145191 0
-0.062425 -0.304735 0.089557 0
0.381410 -0.038685 -0.039640 0
-0.307842 0.066654 0.153772 0
-0.183247 -0.323489 -0.019127 0
0.483228 0.110220 0.222945 0
0.290951 0.038710 -0.014306 0
0.213088 -0.009710 -0.162080 0
-0.216695 -0.307030 -0.033036 0
-0.213005 0.267389 0.374925 1
0.195218 -0.053937 -0.152801 0
0.234453 -0.087399 -0.210233 0
0.321193 0.094050 0.050275 0
-0.371520 0.162537 -0.120783 1
-0.287364 0.107259 -0.201746 0
-0.168534 -0.305713 0.004368 0
0.276860 -0.014179 -0.000750 0
-0.266751 0.141492 -0.152462 0
0.288804 -0.005378 -0.056476 0
0.332790 0.024704 -0.026577 0
-0.222263 -0.224524 0.174205 0
-0.237011 0.045756 -0.222982 0
-0.227293 -0.382444 0.029656 0
-0.221440 -0.199467 0.195903 0
-0.395940 0.201146 -0.068219 0
-0.316765 0.037732 -0.062041 0
-0.237541 -0.251200 0.138494 0
0.264952 -0.011170 0.003407 0
0.069027 -0.126689 -0.242819 0
-0.395865 0.344241 0.301565 1
0.150295 -0.182718 -0.185446 0
0.317187 0.037288 -0.081068 0
0.407880 0.051548 -0.015880 0
-0.077757 0.134203 -0.239566 0
-0.219935 -0.231234 0.058780 0
0.468393 0.106391 0.231414 0
0.342712 0.021296 0.044022 0
0.435058 0.070395 -0.020767 0
-0.182166 -0.277993 0.036167 0
0.428827 0.038013 0.022747 0
0.455902 0.117510 0.227610 0
-0.305439 0.150514 -0.181111 0
-0.223861 -0.231082 0.170907 0
0.348961 -0.042039 -0.111001 0
0.482391 0.201735 0.243231 0
0.017890 0.067128 -0.137386 0
0.319241 0.071816 0.016871 0
0.313352 0.074011 0.198785 0
0.282111 0.009952 -0.084327 0
-0.415294 0.038075 -0.040142 1
-0.274630 0.126208 -0.144712 0
0.421314 0.187113 0.228765 0
0.435392 0.058773 0.043541 0
0.431652 0.157323 0.176871 0
0.328723 0.094449 0.081940 0
