x y fail
0.401096 0.005912 0
-0.159054 0.108064 0
-0.283281 0.102789 0
0.399575 0.047755 0
-0.126548 -0.299514 0
0.280174 -0.004057 0
0.348278 0.033137 0
0.357446 0.065768 0
0.236846 -0.086957 1
-0.144883 0.130173 0
-0.069017 -0.139044 1
0.254768 -0.013504 0
-0.258709 0.236038 1
0.273232 -0.033460 0
-0.263912 -0.076433 1
-0.134864 -0.281220 0
-0.257521 -0.402525 0
-0.213087 0.149943 0
-0.391913 0.221492 1
0.221681 0.007007 0
-0.371877 0.058575 0
-0.331563 0.112235 0
-0.098876 -0.320119 0
-0.196192 -0.192603 1
0.413915 0.041738 0
-0.382121 0.359828 1
0.253864 0.036659 0
0.395368 -0.030961 0
0.233698 -0.077189 0
0.417369 0.057315 0
-0.376697 0.334065 1
-0.230157 -0.243211 0
-0.183880 0.083219 0
0.349823 0.047172 0
0.347895 0.053351 0
-0.211354 0.089507 0
-0.312300 0.206336 0
-0.335924 -0.038043 0
0.448952 0.111489 0
0.379970 0.009028 0
0.319677 -0.019530 0
-0.235069 0.164937 1
0.369859 0.078942 0
-0.203981 0.103624 0
-0.234291 0.257240 1
0.311007 -0.011180 0
0.394463 0.091721 0
-0.326989 -0.041513 0
-0.370912 0.166064 1
-0.173719 -0.296553 0
0.432802 0.065478 0
-0.034097 -0.046920 1
-0.411436 0.261116 1
-0.263341 0.107126 0
0.352663 0.057345 0
0.394120 -0.017628 0
-0.054045 -0.266904 0
-0.349588 0.164956 0
-0.375016 0.297172 1
-0.238362 0.176799 0
-0.188304 -0.138651 0
-0.410102 0.358103 1
0.088022 -0.139443 0
-0.419723 0.076026 1
-0.178451 -0.168258 0
0.360173 0.030963 0
-0.286854 0.364125 1
-0.378532 0.025658 0
-0.073793 -0.211119 0
-0.263535 0.339357 1
0.283137 -0.027222 0
-0.192569 -0.385448 0
0.469180 0.091483 0
-0.336286 0.095509 0
-0.060082 -0.091895 1
0.459868 0.178124 0
0.485373 0.133370 0
-0.007243 -0.052309 0
-0.338458 0.328691 1
-0.194722 0.122788 0
-0.307948 0.169166 0
-0.062425 -0.304735 0
0.381410 -0.038685 0
-0.307842 0.066654 0
-0.183247 -0.323490 0
0.483228 0.110220 0
0.290951 0.038710 0
0.213088 -0.009710 0
-0.216695 -0.307030 0
-0.213005 0.267390 1
0.195218 -0.053938 0
0.234453 -0.087399 0
0.321193 0.094050 0
-0.371520 0.162537 1
-0.287364 0.107259 0
-0.168534 -0.305713 0
0.276860 -0.014179 0
-0.266751 0.141492 0
0.288804 -0.005378 0
0.332790 0.024705 0
-0.222263 -0.224524 0
-0.237011 0.045756 0
-0.227293 -0.382444 0
-0.221440 -0.199466 0
-0.395940 0.201146 0
-0.316765 0.037731 0
-0.237541 -0.251200 0
0.264952 -0.011170 0
0.069027 -0.126689 0
-0.395865 0.344240 1
0.150295 -0.182718 0
0.317187 0.037288 0
0.407880 0.051549 0
-0.077757 0.134203 0
-0.219935 -0.231234 0
0.468393 0.106391 0
0.342712 0.021295 0
0.435058 0.070394 0
-0.182166 -0.277992 0
0.428827 0.038013 0
0.455902 0.117510 0
-0.305439 0.150514 0
-0.223861 -0.231081 0
0.348961 -0.042040 0
0.482391 0.201736 0
0.017890 0.067129 0
0.319241 0.071815 0
0.313352 0.074012 0
0.282111 0.009953 0
-0.415294 0.038075 1
-0.274630 0.126208 0
0.421314 0.187113 0
0.435392 0.058772 0
0.431652 0.157323 0
0.328723 0.094449 0
